"5aec","<X1e>ドラント<X04>
<IF0050><JUMP5b51>ここを どこだと 思っている !!
いなか者が 来るような 所じゃない
とっとと 出ていけ !!<END>
<LOC5b51>いやー これは これは 王子さま。
私が 後を継いだときには よろしく
お願いします。"
"5ba1","<X1e>ローランス<X04>
<IF0050><JUMP5c07>なんだね？ 私は 忙しいのだ。
君たちのような 平民に
かかわっている暇は ないのだよ。<END>
<LOC5c07>私は とても 忙しいのですが
王子さまの お相手を するくらいの
時間なら いくらでも ありますよ。"
"5c64","<X1e>マルセー<X04>
<IF0050><JUMP5cf6>どうしたのだ ジェストンさまか？
残念だが 私は ジェストンさまでは
ないのだよ。

よく まちがえられて 困るんだがね。ほっほっほっほ。<END>
<LOC5cf6>おや 王子さま。
ジェストンさまは 私のことを
何か 言っておりませんでしたか？

私が 後を継ぐことに なっている
はずなんですがね。
ほっほっほっほ。"
"5d85","<X1e>ロエル<X04>
しかし いつになっても 城という所は人が たくさんおって 落ちつかぬのう。

やはり わしには ひとりのほうが
向いているようじゃ。"
"5e09","<X1e>兵士<X04>
赤スライムの 異常はんしょくは
<IF0068><JUMP5e63>大地震の 前ぶれだったんじゃ
ないでしょうかね。<END>
<LOC5e63>モンスターが 出てくることの
前ぶれだったんですね。"
"5e96","<X1e>兵士<X04>
うちのばあさんが 言ってましたよ。
あの大地震は 竜の卵がかえる
前ぶれなんだってね。<IF_NOT0068><JUMP5f39>

確かに まちがってない みたいだけどモンスターが 出てくるなんてねえ。<LOC5f39>"
"5f3a","<X1e>兵士<X04>
今 わが国の船は 罪人を 送るために
ジャグリに 向かっている。

<IF0068><JUMP6033>ジャグリとは ウォンリーク北部の
地域のことで 荒い海と 険しい山脈に囲まれた 流刑地のことだ。

そこを 各国が 共同で 管理していて
罪人たちは その中で 集落を作り
生活しているのだ。<END>
<LOC6033>たしか あそこにも 竜の卵が あった
はずだが どうなったのだろうか？"
"6075","<X1e>兵士<X04>
ロエル殿は 昔から ジェストンさまの相談役をされていて 城の北西にある
一軒家に 住んでおられました。

ところが 先日の地震で 家がつぶれてしまったのです。

つぶれた家から 大けがを したまま
なんとか 抜け出して、ここまで
たどりつかれたのです。"
"6167","<X1e>兵士<X04>
<IF0068><JUMP61d7>この先は 地下ろうへの 入口ですが
先日 罪人を ジャグリに 送ったので
中に入っても だれもいませんよ。<END>
<LOC61d7>この先は 地下ろうへの 入口です。

この騒ぎの どさくさに まぎれて
悪いことを するやつが 増えて
くるんじゃないかと 心配ですよ。"
"6254","<X1e>兵士<X04>
この３つの部屋に いる方たちが
ジェストンさまの 後継ぎ候補です。"
"629b","<X1e>侍女<X04>
<IF0068><JUMP62ff>このごろ 赤スライムが やたらに
たくさん いるでしょ？
気持ち悪くて いやんなっちゃうわ。<END>
<LOC62ff>あの赤スライムの 気持ち悪さと
モンスターの おそろしさ ･ ･ ･
やっぱり どっちも いやね。"
"6356","<X1e>侍女<X04>
今 おやつの アップルパイを
作ってるの 早くできないかしら。
味見ができるのに ･ ･ ･<IF_NOT0068><JUMP6402>

なーんて のんきなこと 言ってて
もしモンスターが おそってきたら
どうしましょ。<LOC6402>"
