"5bf2","<X1e>補佐官<X04>
イセルハーサの中で 共和制を
とりいれているのは
このモレストンだけです。

ちなみに 私は ２０年間 ずっと
ハンス大統領の 補佐官を
務めております。"
"5c8a","<X1e>役人<X04>
兵士たちが 出動するには いろいろと手続きが 必要なんだよ。
ああ 忙しい 忙しい。"
"5ce0","<X1e>役人<X04>
ふぅ ･ ･ ･ お役所仕事も 疲れるよ。こうやって 一日中 ボーっと
してなけりゃ ならないんだもんな。

こうやって ボーっとしてて かれこれ２０年になるかなぁ。"
"5d7d","<X1e>役人<X04>
ハンス大統領は 国民の声を 親身に
なって きいてくれる とてもいい
大統領なのよ。

だから 今まで ２０年近く ずっと
大統領を 務めているの。"
"5e0b","<X1e>女<X04>
昔 英雄たちの手で 滅ぼされた
悪神が 復活したという うわさを
きいたけど 本当なのかしら。"
"5e68","<X1e>ジーラ<X04>
むむむっ お前さんがた 旅人じゃな？いい話をきかせてやろう。

女神 フレイアさまは その昔 我々の
祖先を 悪神のやみの力から 救いだしこの地にお導きくだされたのじゃ。

そして 祖先に ことばを与え
多くの知恵を 授けてくださった。

フレイアさまは 我々人間 すべての
偉大な母にあたる お方なのじゃよ。

どうじゃな 感動したか？"
"5fa7","<X1e>娘<X04>
うちの おばあちゃんて 昔の話を
よく知ってるのよ。

おかげで 私も いろいろな話を
覚えちゃったわ。"
"600c","<X1e>女<X04>
<IF_NOT00f5><JUMP609e>ねえねえ きいてよ。
セリオスさまたちが モンスターを
退治しに いったらしいわよ。

よかったわぁ もう少し がまんすればまた平和になるのね。<END>
<LOC609e>よかったわぁ また平和になって。
でも ソルディスとモレストンしか
平和になっていないらしいわよ。

かわいそうに 早く 世界中が平和に
ならないかしら。<IF0014><JUMP621a>

<CH2>
この方 私と気が合いそうだわ。

<CH1>
よせよ お嬢さん。
今は そんなこと 言ってられねえだろ。

<CH2>
ごめんなさい ･ ･ ･
でも 世界中の人が 幸せになることが私の願いなんですもの。

<CH1>
あー わかった わかった。
その話は もう何百回もきいたぜ。<LOC621a>"
"621b","<X1e>兵士<X04>
ずっと前の 大地震で 水晶の塔という歴史ある塔が 倒れてしまったんだ。

大統領は 何とかして 復元しようと
思っているらしいんだ。"
"629e","<X1e>兵士<X04>
ファンガスにいた 盗賊たちは
狼の口に逃げていたんだ。
おれが 捜し出したんだぜ。"
