"5b18","<X1e>兵士<X04>
何の用できたか 知らないけど みんな祭の準備で 忙しいから じゃまに
ならないようにしてくれよ。",""
"5b7b","<X1e>兵士<X04>
竜の祭とは 今年のしゅうかくを
女神 フレイアさまに かんしゃして
来年の 豊作を 祈る祭のことなんだ。",""
"5be4","<X1e>兵士<X04>
竜の祭の日には たくさんの料理が
食べられるんだ 中でも にわとりの
丸やきは最高だな。",""
"5c3f","<X1e>兵士<X04>
ここは 出入国記録の 保管所だ。
ヨルドと セダルからの 記録は
すべて ここに集められているんだ。

だから ワプを使って 直接 この国に
来ても 記録を調べれば すぐに
わかるようになっているんだ。",""
"5d00","<X1e>兵士<X04>
ここは 出国手続き所だけど
今は 祭のほうが 優先だから
係の者も 準備におわれているんだ。

だから 手続きは 祭が終わるまで
やれないんだよ。",""
"5d8e","<X1e>兵士<X04>
この船は わがラヌーラ王国の船です。

罪人をジャグリまで 護送したり
貨物を輸送したりと いろいろな
用途に使っているのです。",""
"5e0e","<X1e>兵士<X04>
祭のじゃまをするような やつが
来ないように 見張りをしてるんだ。
祭は 国をあげての 行事だからね。",""
"5e76","<X1e>司祭 バーバラ<X04>
わしゃ 竜の祭の司祭じゃ。
祭の日に 竜の卵の中に入るのじゃよ。

あの卵は つるっとしていて
入る所など ないのじゃが わしだけは中に入ることが できるのじゃよ。",""
"5f20","<X1e>侍女<X04>
竜の祭の日には たくさんの料理を
出すから そのための 材料の手配を
しているのよ。",""
"5f77","<X1e>侍女<X04>
もう祭の準備で大変よ。
あんまり 忙しいから 王妃さまにまで手伝っていただいてるの。",""
"5fd0","<X1e>ソニア王妃<X04>
私は 王妃だからって じっとしている性格じゃないのよ。

みんな 祭の準備で 忙しいんだから
私に できることだったら 何でも
手伝っていますわ。",""
"6065","<X1e>チャールズ王子<X04>
みんな 祭りの準備をしてて 遊んで
くれないんだ。<WAIT>
つまんないなぁ。",""
