"5ac9","<X1e>ディーナ<X04>
<IF000d><JUMP63cb><IF000f><JUMP6346><SET000f>アトラス、よかった ･ ･ ･

竜の卵から モンスターが
出てきたので どうしているか
心配していたのです。

<IF000e><JUMP5ce7>そちらは ･ ･ ･ ？

<CH0>
あっ ごめんなさい 母上。
ひとりきりで 旅を しなくて ･ ･ ･

<CH1>
これは どうも 王妃さま。
おれは ランドーといいます。

おれが 勝手に 王子さまの 後に
くっついて いただけですから
王子さまを 怒らないでください。

<X1e>ディーナ<X04>
いいえ 怒るなんてとんでもない。

この旅の目的は いろいろ ありますが信頼できる仲間を 見つけることも
そのひとつだったのです。

ランドー殿、アトラスのことを
よろしく お願いします。

<LOC5ce7><CH0>
母上 こちらは どうですか？

<X1e>ディーナ<X04>
クルスが ･ ･ おそわれました。

<CH0>
やっぱり ･ ･ ･ ラヌーラでも
セリスが おそわれたので 急いで
戻ってきたんです。

父上は どうしたのですか？

<X1e>ディーナ<X04>
陛下は ドラゴンに 乗って
ウォンリークへ 向かわれました。

この異変は 世界中で 起こっている
可能性があるので 状況を調べて
対策を立てるそうです。

<CH0>
そうか ･ ･ ドラゴンで ･ ･ ･

母上、ぼくも 行きます。

<X1e>ディーナ<X04>
アトラス !?
何を 言っているの？

<CH0>
父上と いっしょに この世界で
起こっていることを 調べたいのです。

<X1e>ディーナ<X04>
そんな 危険なことなど いけません。せっかく あなたが 無事に 戻って
来たというのに。

<CH0>
ぼくは わかったんです。
エリオンさまを 見て ･ ･ ･

エリオンさまは ラヌーラに
モンスターが 現れたとき まず国民の安全を お考えになりました。

父上にしても そうです。
今は きっと 国民だけでなく
世界中の 人たちの安全のことを
考えているはずです。

<X1e>教育係 ラウエル<X04>
アトラス王子 !!
なんと ごりっぱな おことば !!
じいは うれしゅうございます。

ディーナさま このラウエルからも
お願いいたします。
どうか 王子さまに お許しを。

<X1e>ディーナ<X04>
･ ･ ･ ラウエルまで ･ ･ ･

わかりました。
かなり危険な お勉強ですけど ･ ･ ･

<CH0>
母上 ･ ･ ･ ありがとう。

<X1e>ランドー<X04>
王妃さま 頼りないかもしれないが
おれが お供をします。

<X1e>ディーナ<X04>
あなたのような たくましい方が
いっしょなら 安心です。

ごめんどうを おかけしますが
アトラスのこと よろしく
お願いします。

<CH0>
すぐに 父上に 合流するから
心配いらないよ。

<X1e>ランドー<X04>
なあ ドラゴンって あれか？

<CH0>
そう ソルディスにしか いないって
いうやつ。

<X1e>ランドー<X04>
あれに 乗れるのか？

<CH0>
たぶんね。
ぼく 昔から 乗りたかったんだけど
乗せて もらえなかったんだ。

<X1e>ランドー<X04>
ほんとかよ こいつは すげえぜ !!
早く行こうぜ ウォンリークだろ？<END>
<LOC6346>アトラス、地下ろうに 武器が
残っているはずです。
それを 持ってゆきなさい。

それから 武器庫に行けば 持ち物を
預かってくれるでしょう。<END>
<LOC63cb>一刻も早く 陛下と 合流しなさい。
陛下の 足出まといに ならぬよう
気をつけるのですよ。"
"6420","<X1e>フェリシア<X04>
いいですか アトラス。
勇気と無謀というのは 違いますよ。
良く考えて 行動しなさい。"
"647f","<X1e>兵士<X04>
セリオスさまと いっしょに 世界の
状態を 見てまわるそうですね。
お気を つけください。"
"64db","<X1e>兵士<X04>
竜の卵の 近くには モンスターが
たくさんいますから 近づかない
ように なさってください。"
"6539","<X1e>兵士<X04>
竜の卵から 離れている所では あまりモンスターを見かけません。
竜の卵は 避けたほうが よいでしょう。"
"65a2","<X1e>兵士<X04>
モンスターが 現れてから スライムを見かけなくなりました。

そのため 体力作りが できなくなって困っているんです。"
"6617","<X1e>兵士<X04>
王子さま あのドラゴンに 乗れるかもしれませんね。うらやましいな。"
"665f","<X1e>兵士<X04>
今のところ ルディアの 近くでは
あまりモンスターを 見かけません。
お城のほうは 安心なさってください。"
"66cb","<X1e>兵士<X04>
セリオスさまが 戻られるまでは
モンスターから 攻撃してこない限り
応戦するな とのことです。"
"672c","<X1e>兵士<X04>
セリオスさまに 合流するまでは
あまり 無理をしないように
してください。"
"677a","<X1e>教育係 ラウエル<X04>
<Xf610d6><JUMP6823>おお そうでしたな。
もう その親書は あまり意味が
なくなったようですな。

私が お預かりしましょう。

<ASMd61d><X0e><X1c>を 渡しました。
<X04><ASMd625><X0e><X1c>を 渡しました。<X0c0301><X04>

<LOC6823>王子さま 一刻も早く セリオスさまと合流し 手助けを なさってください。"
