"5c75","<C_YELLOW>オセ<C_NONE>
わしが このシリカの村の村長じゃ。
昔は わしとゲームをした者にだけ
呪文を教えていたのじゃ。

でも、今は ゲームの 相手をしても
何も 教えてあげないのじゃよ。
わっはっは ･ ･ ･",""
"5d27","<C_YELLOW>セオラ<C_NONE>
おやおや 珍しい。
こんな 老人ばかりの村に
お客さんが お見えになるなんて。",""
"5d7a","<C_YELLOW>セリム<C_NONE>
ここに打つと あれがこうなるから
あそこに打って、そうしたら
ぶつ ぶつ ･ ･ ･",""
"5dce","<C_YELLOW>オレム<C_NONE>
イラ イラ イラ
いつまで 考えとるんじゃ まったく
イラ イラ イラ イラ",""
"5e1b","<C_YELLOW>アベル<C_NONE>
ハッハッハ これで どうじゃ？",""
"5e41","<C_YELLOW>タバル<C_NONE>
ムムムッ また負けそうじゃ ･ ･ ･
また 地震でも 起こらぬかのお ･ ･ ･",""
"5e8d","<C_YELLOW>リゾン<C_NONE>
この新しいゲームが できたら きっと話題になることじゃろう。
今から 名前を 考えておくかな。",""
"5ef0","<C_YELLOW>ガンク<C_NONE>
やっぱり ゲームというものは
おもしろいものじゃわい。",""
"5f2e","<C_YELLOW>ハンナ<C_NONE>
おじいさんたら たまたま ゲームで
勝ったものだから よろこんでいて
たいへんなんですよ。",""
"5f8d","<C_YELLOW>ロデリック<C_NONE>
<IF0204><JUMP604f>はて そこの一番でかいの。
お前さん わしのこと知らぬか？

<CH3>
シンディ 知らない。

<C_YELLOW>ロデリック<C_NONE>
そうか それは よかった。

<CH0>
なにか あるんですか？

<C_YELLOW>ロデリック<C_NONE>
いや なんでもない。<END>
<LOC604f>ランドー お前と いっしょにいた
でかいやつは どうしたんじゃ？

じつはな ･ ･ ･ あいつは わしが
変身の呪文を 研究しているときに
やってきてな。

あいつに 呪文をかけてみたのじゃが
失敗して あんな体になったのじゃ。
呪文が完成したら 元に戻してやると
伝えておいてくれ。

<CH1>
てめえ ボケじじい !!
人のこと バカにしといて 自分だって呪文を 失敗したんじゃねえか。

<IF0208><JUMP61e6>あいつはなぁ もう 戻ってこねえよ。かわいそうに ･ ･ ･<END>
<LOC61e6><C_YELLOW>ロデリック<C_NONE>
いや ランドー きいてくれぬか。

あれは モンスターが 出てきて
セリオスどのが ドラゴンに 乗って
この国を 出られてからじゃった。

ある日 そのドラゴンが わしの所に
来たのじゃよ。

そいつは 何か言いたそうなんじゃが
ことばが 話せぬものだから わしも
困っていたのじゃ。

そのうち じれったくなり 実験を
かねて 人間に変身させれば
言いたいことが わかると思い
変身の呪文を かけてみたのじゃ。

まあ 結果は まずまずだった。

<CH1>
どこが まずまずなんだよ。

<C_YELLOW>ロデリック<C_NONE>
そうなんじゃよ ･ ･ ･
大事なことを 忘れていたのじゃ。

変身したとたんに それまでの 記憶がなくなってしまうのじゃ。

まあ 実際には 人間のことばで
考えるから それ以前にあった記憶が
認識できないだけなのじゃがな。

その辺が これからの課題なんじゃ。
何とかしなければ ･ ･ ･

<CH1>
こりねえ ジジイだぜ。",""
"64d2","<C_YELLOW>オレア<C_NONE>
昔 わしら賢者は ラスタバンという
地から 各地にちらばり 人々に呪文を教えてあげていたのじゃ。

しかし 呪文の書が 売買されるようになってしまって わしらの役目も
なくなってしまってのう。

この辺で ゲームをやりはじめたら
だんだんと 人があつまってきて
村にまで発展したのじゃよ。",""
"65e9","<C_YELLOW>アルノー<C_NONE>
ロンドの武器屋は 呪文がよく売れて
もうかっとるから 売り上げの半分を
わしにくれるそうじゃ。",""
"664f","<C_YELLOW>ディーム<C_NONE>
どの呪文の書が いるのじゃ？<RET_N>",""
"6676","いらぬのか。
それでは 必要なときに 来るがいい。",""
"66a6","<ITEM>でよいのじゃな。",""
"66b8","もう それ以上 持てぬぞ。
持ち物を 減らしてから 来なされ。",""
"66f2","<C_YELLOW>マルク<C_NONE>
わしゃ 呪文が 売られとる町を
教える 案内係のようなものじゃ。

<RET>",""
"6739","どの呪文のことを 知りたいのじゃ？<RET_N>",""
"675b","<CLEAR><ITEM>か ･ ･ ･
それだったら <RET>",""
"6774","に 行けば
売っておる。

<RET>",""
"678c","<CLEAR>呪文の ある所を 知りたかったら
また来るがいい。",""
